,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
124,DeMar DeRozan,SAS,31,61,27,34,33.7,113,115.5,-2.5,30.9,3.55,25.7,1.9,10.6,6.2,7.2,50.5,59.1,25.5,100.09,13.9,4289
124,Dennis Schroder,LAL,27,61,38,23,32.1,110.8,108.6,2.2,26.2,2.15,25.4,1.6,9.3,5.5,11.8,48.4,54.3,22.7,99.67,9.7,4059
124,Giannis Antetokounmpo,MIL,26,61,40,21,33,117.1,107.3,9.8,28.2,1.72,18.7,4.8,26.4,16,10.8,60,63.3,32,104.17,19.6,4359
124,Isaiah Roby,OKC,23,61,19,42,23.4,99.5,113.6,-14.1,11.8,0.95,15.3,5.7,16.9,11.2,16.1,52,55.5,17.1,102.9,8.4,3052
124,Kevon Looney,GSW,25,61,34,27,19,112.1,106.1,6,13.2,3.22,31.7,9.8,16.5,13.2,9.9,55.8,57.5,9.2,102.37,8,2467
124,Landry Shamet,BKN,24,61,39,22,23,113.6,112.4,1.1,9.7,2.06,15.6,0.8,6.7,4,7.5,54.9,57.8,16.4,101.34,6.3,2972
124,Markieff Morris,LAL,31,61,32,29,19.7,107.1,106.3,0.8,8.8,1.35,13.9,4,17.6,10.9,10.3,49.1,50.9,16,100.47,7.6,2512
124,Michael Porter Jr.,DEN,23,61,40,21,31.3,120.2,111.9,8.3,5.2,0.91,6.9,5.1,18.9,12.1,7.6,64.6,66.3,21.4,98.1,12.5,3924
124,Precious Achiuwa,MIA,21,61,31,30,12.1,102,109.2,-7.2,6.4,0.67,8.3,9.7,17.4,13.6,12.3,54.4,55,18.4,101.39,8.6,1555
124,Richaun Holmes,SAC,27,61,29,32,29.2,114.9,114.6,0.3,8.2,1.35,12.3,8.1,19.6,14,9.1,63.8,66.9,17.3,100.46,12.2,3728
124,Stanley Johnson,TOR,25,61,25,36,16.5,105.3,111.7,-6.4,12.7,1.65,22.3,2.7,12.8,7.5,13.5,47.9,51.9,13,101.77,5.6,2122
124,Terence Davis,SAC,24,61,26,35,17.6,107.3,110.1,-2.8,12.2,1.32,13.3,1.8,12.5,7,10.1,53.5,55.5,21.3,102.23,8.7,2286
124,Tyrese Maxey,PHI,20,61,41,20,15.3,106.4,108,-1.6,20.7,2.93,19.4,1.1,9.8,5.4,6.6,49.8,53.1,22.2,101.2,10.6,1963
